City,Product Type,Trip or Order Status,Request Time,Begin Trip Time,Dropoff Time,Distance (miles),Fare Amount,Fare Currency
493,UberX,COMPLETED,2020-06-01 15:56:38 +0000 UTC,2020-06-01 15:58:22 +0000 UTC,2020-06-01 16:04:24 +0000 UTC,1.12342155025636,6.34,BRL
493,UberX,COMPLETED,2020-03-07 07:02:30 +0000 UTC,2020-03-07 07:05:37 +0000 UTC,2020-03-07 07:08:36 +0000 UTC,0.73515445866772,10.48,BRL
493,Comfort,CANCELED,2020-03-06 22:40:28 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,CANCELED,2020-03-06 22:39:14 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,CANCELED,2020-03-06 22:28:39 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,1970-01-01 00:00:00 +0000 UTC,0.0,0.0,BRL
493,UberX,COMPLETED,2020-03-06 03:24:47 +0000 UTC,2020-03-06 03:27:03 +0000 UTC,2020-03-06 03:33:29 +0000 UTC,1.23275212062287,6.47,BRL
493,UberX,COMPLETED,2020-03-05 23:50:51 +0000 UTC,2020-03-05 23:54:36 +0000 UTC,2020-03-06 00:02:54 +0000 UTC,1.67117309964808,6.9,BRL
493,UberX,COMPLETED,2020-03-04 17:13:03 +0000 UTC,2020-03-04 17:14:52 +0000 UTC,2020-03-04 17:24:00 +0000 UTC,1.65121290698613,6.9,BRL
493,UberX,COMPLETED,2020-03-02 02:05:56 +0000 UTC,2020-03-02 02:08:00 +0000 UTC,2020-03-02 02:16:31 +0000 UTC,1.7794538989933,7.92,BRL
493,UberX,COMPLETED,2020-03-01 17:35:14 +0000 UTC,2020-03-01 17:38:31 +0000 UTC,2020-03-01 17:47:48 +0000 UTC,2.0216016475971,7.89,BRL
